ACM Instruments v4 analysis (03/mar./2023 14:26)

File name,C:\Data\ELL\MnO2_sintetizado\MnO2_600mV_sint,
Test type,Cyclic sweep,
Instrument serial number,901,
Physical channel,3,
Sequence number,1,
ZRA Number,n/a,
Time and Date,14:21:45 03/mar./2023,
Data points,248,
Area (cm²),1,
Rest Potential (mV),Not recorded,
Metal,Mild Steel,
Metal factor,1159,
LPR (Ohm.cm²),29.84,
Ba (mV),120,
Bc (mV),120,
Icorr (mA/cm²),0.8742042,
Corrosion Rate (mm/year),10.132,
Corrosion rate (mils/yr),398.89,
Intercept (mA/cm²),0,
Intercept corrosion rate (mm/year),0,
Intercept corrosion rate (mils/yr),0,
IR Compensation value (Ohm.cm²),N/A,
,
Current (mA/cm²),Potential (mV),Time (Sec),
-8.9778,-1489.5,0,
1.6259,-1407.9,1.1249,
4.5559,-1321.2,1.8909,
6.3469,-1248.5,2.6409,
9.0726,-1158.7,3.641,
9.5391,-1072.7,4.5309,
10.365,-989.09,5.3909,
11.036,-906.49,6.2659,
11.275,-823.48,7.0779,
11.481,-744.95,7.6249,
12.052,-649.13,8.531,
11.998,-562.68,9.4529,
11.76,-479.18,10.265,
11.667,-399.77,11.14,
11.19,-318.85,12.015,
10.794,-235.67,12.827,
10.37,-155.85,13.702,
9.3804,-76.858,14.514,
9.2717,4.1172,15.389,
9.0502,86.045,15.936,
9.3045,185.36,16.827,
9.4794,264.79,17.639,
9.97,341.24,18.514,
13.947,424.79,19.389,
,,19.624,
20.518,489,20.5,
3.694,398.34,21.561,
0.3776449,298.18,22.467,
-0.5731698,215.41,23.342,
-0.9552528,126.43,24.327,
-1.6555,31.344,24.999,
-2.3434,-68.144,25.78,
-2.986,-154.6,26.764,
-3.9823,-244.63,27.717,
-4.8597,-328.55,28.529,
-5.5257,-406.53,29.404,
-6.7142,-487.64,30.28,
-7.6645,-569.76,31.092,
-8.3131,-646.83,31.905,
-9.2722,-727.51,32.779,
-10.459,-808.06,33.327,
-12.124,-902.03,34.154,
-13.292,-981.27,34.982,
-14.046,-1061,35.857,
-14.428,-1141.9,36.732,
-14.794,-1224,37.607,
-15.691,-1307.9,38.42,
-16.312,-1387.2,39.295,
,,39.842,
-18.073,-1467.6,40.17,
-9.7574,-1473.2,41.232,
1.4944,-1359.9,41.966,
4.3327,-1252.2,42.873,
6.8637,-1159.1,43.794,
7.2256,-1081.7,44.623,
8.4126,-1003.5,45.436,
8.9833,-924.77,46.31,
9.9129,-843.96,47.169,
10.469,-761.06,48.06,
10.594,-678.93,48.872,
10.722,-598.04,49.747,
10.905,-517.2,50.279,
10.878,-419.94,51.185,
10.197,-341.13,51.997,
9.935,-261.25,52.81,
9.2326,-182.58,53.685,
8.5543,-102.37,54.544,
8.0589,-18.981,55.435,
7.6814,63.894,56.294,
7.4373,145.99,57.122,
7.5681,229.52,58.091,
8.7849,319.59,58.669,
11.457,413.57,59.498,
,,60.044,
22.135,493.18,60.372,
8.0843,433.51,61.419,
0.3028017,329.35,62.481,
-1.1223,242.5,63.309,
-1.1096,153.57,64.294,
-1.605,63.006,65.232,
-2.1524,-22.013,66.059,
-2.431,-96.083,66.919,
-3.5477,-184.09,67.543,
-4.3505,-279.82,68.372,
-5.2813,-359.5,69.184,
